C689493,FR0087,6.57,50000,22062021 10291600,PT. BANK DANAMON INDONESIA  TBK,PT. BANK DANAMON INDONESIA  TBK,CR-IB-PT. BANK DANAMON INDONESIA  TBK-00,BDINDEPO,null,OR,50000,50905650000,1158150000
C689499,FR0087,6.57,50000,22062021 10292700,BRI DANAREKSA SEKURITAS,PT BANK CIMB NIAGA TBK,CR-SC-CUSTODIAN SERVICES BANKNIAGA - INVESTOR-Danareksa Seku,BNIAINVT-DEPO,null,OR,50000,50905650000,1158150000
C689629,FR0087,6.57,250000,22062021 10352200,PT BANK CIMB NIAGA TBK,PT BANK CIMB NIAGA TBK,CR-IB-PT BANK CIMB NIAGA TBK-00,BNIADEPO,null,OR,250000,254528250000,5790750000
C689656,FR0087,6.57,30000,22062021 10363200,PT. BANK DANAMON INDONESIA  TBK,PT. BANK DANAMON INDONESIA  TBK,CR-IB-PT. BANK DANAMON INDONESIA  TBK-00,BDINDEPO,null,OR,30000,30543390000,694890000
C689669,FR0087,6.57,50000,22062021 10371000,PT. BANK DANAMON INDONESIA  TBK,PT. BANK DANAMON INDONESIA  TBK,CR-IB-PT. BANK DANAMON INDONESIA  TBK-00,BDINDEPO,null,OR,50000,50905650000,1158150000
C689733,FR0087,6.57,150000,22062021 10425400,PT. BANK RAKYAT INDONESIA (PERSE,PT. BANK RAKYAT INDONESIA (PERSE,CR-IB-PT. BANK RAKYAT INDONESIA (PERSERO)  TBK-00,BRINDEPO,null,OR,150000,152716950000,3474450000
C689054,FR0087,6.58,5000,22062021 09365600,PT. MANDIRI SEKURITAS,PT. BANK MANDIRI (PERSERO)  TBK,CR-SC-BANK MANDIRI SUB REGISTRY - INVESTOR-Mandiri Sekuritas,BMRIINVT-DEPO,null,OR,5000,5087045000,115815000
C689096,FR0087,6.58,11000,22062021 09464700,PT. BANK MANDIRI (PERSERO)  TBK,PT. BANK MANDIRI (PERSERO)  TBK,CR-IB-PT. BANK MANDIRI (PERSERO)  TBK-00,BMRIDEPO,null,OR,11000,11191499000,254793000
C689169,FR0087,6.58,10000,22062021 10033600,PT. BANK RAKYAT INDONESIA (PERSE,PT. BANK RAKYAT INDONESIA (PERSE,CR-PF-KUSTODIAN PT. BRI(PERSERO) TBK - INVESTOR-DPLK BRI,BRININVT-DEPO,null,OR,10000,10174090000,231630000
C689221,FR0087,6.58,1000,22062021 10081900,PT. BANK CENTRAL ASIA  TBK,PT. BANK CENTRAL ASIA  TBK,CR-IS-PT. BANK CENTRAL ASIA TBK-ARTARINDO,CENADEPO,null,OR,1000,1017409000,23163000
